A$AP Ferg,Plain Jane,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
"Aanysa, Snakehips",Burn Break Crash,R&B/Soul,,R&B
Afrojack ft. Eva Simons,Take Over Control,Dance/Electronic,"Electro house, Progressive house",Dance/Electronic
Ailee,Evening Sky,K-pop,,K-Pop
AJR ft. Rivers Cuomo,Sober Up,Pop,,Pop
Akon,Right Now (Na Na Na),"Contemporary R&B, Pop",Dance-pop,R&B
"Akon ft. Colby O'Donis, Kardinal Offishall",Beautiful,"Contemporary R&B, Pop","R&B, Dance-pop",R&B
Alan Walker,Faded,"Electronica, House music, Progressive house, Dance/Electronic",Progressive House,Dance/Electronic
"Alan Walker ft. Tomine Harket, Au/Ra",Darkside,"Dance/Electronic, Pop",,Dance/Electronic
Alesso ft. Roy English,Cool,"Dance/Electronic, Pop",Progressive House,Dance/Electronic
Alesso ft. Tove Lo,Heroes (We Could Be),,Progressive House,Dance/Electronic
Andra Day,Rise Up,R&B/Soul,,R&B
Apink,Catch Me,,,K-Pop
Ariana Grande,Into You,Pop,"EDM, House",Pop
Ariana Grande,no tears left to cry,Pop,"Dance-pop, Disco, Dance-R&B",Pop
Ariana Grande,One Last Time,"Contemporary R&B, Teen pop","Dance-pop, EDM",R&B
Ariana Grande ft. Iggy Azalea,Problem,"Contemporary R&B, Teen pop","Dance-pop, R&B",Pop
Ariana Grande ft. Mac Miller,The Way,"Teen pop, Pop","R&B, Pop, Hip hop soul",Pop
Ariana Grande ft. Zedd,Break Free,"Contemporary R&B, Teen pop","Electro House, Synth-pop, EDM",Dance-Pop
"Ariana Grande, The Weeknd",Love Me Harder,"Contemporary R&B, Teen pop","Pop, Synth-pop, Synthwave-R&B",R&B
Armin van Buuren ft. Lauren Evans,Alone,Dance/Electronic,,Dance/Electronic
Armin van Buuren ft. Trevor Guthrie,This Is What It Feels Like,Dance/Electronic,,Dance/Electronic
ARTY,Save Me Tonight,Dance/Electronic,,Dance/Electronic
Ashley O,On a Roll,Pop,Dance-pop,Pop
Astrid S,Hurts So Good,,Pop,Pop
Audien,Message,Dance/Electronic,,Dance/Electronic
Audien ft. Lady Antebellum,Something Better,Dance/Electronic,"Progressive House, Dance-pop",Dance/Electronic
Audien ft. Michael S,Leaving You,Dance/Electronic,,Dance/Electronic
Audien ft. Ruby Prophet,Circles,Dance/Electronic,,Dance/Electronic
